num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
47;cics_4;habilita;847982;CFI; 10 ;;;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;TICs;0;0;2;2
48;cics_4;habilita;850440;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;TICs;0;0;2;2
49;cics_4;habilita;850490;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;TICs;0;0;2;2
50;cics_4;habilita;852550;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Aparelhos transmissores (emissores) para radiodifusão ou televisão, mesmo que incorporem um aparelho receptor ou um aparelho de gravação ou de reprodução de som; câmeras de televisão, câmeras fotográficas digitais e câmeras de vídeo.";TICs;0;0;2;2
51;cics_4;habilita;852560;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Aparelhos transmissores (emissores) para radiodifusão ou televisão, mesmo que incorporem um aparelho receptor ou um aparelho de gravação ou de reprodução de som; câmeras de televisão, câmeras fotográficas digitais e câmeras de vídeo.";TICs;0;0;2;2
52;cics_4;habilita;852910;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 85.24 a 85.28.;TICs;0;0;2;2
53;cics_4;habilita;852990;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 85.24 a 85.28.;TICs;0;0;2;2
54;cics_4;habilita;853400;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Circuitos impressos.;TICs;0;0;2;2
55;cics_4;habilita;853630;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
56;cics_4;habilita;853650;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
57;cics_4;habilita;854470;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
58;cics_4;habilita;860400;CFI; 10 ;;;;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsados (por exemplo, vagões-oficinas, vagões-guindastes, vagões equipados com batedores de balastro, alinhadores de vias, viaturas para testes e dresinas).;Sistemas Metroferroviários;0;0;2;2
