num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_4;Está em cics_7
43;cics_8;habilita;30024121;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
44;cics_8;habilita;30024122;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
45;cics_8;habilita;30024123;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
46;cics_8;habilita;30024125;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
47;cics_8;habilita;30024126;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
48;cics_8;habilita;30024127;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
49;cics_8;habilita;30024129;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
50;cics_8;habilita;30024210;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
51;cics_8;habilita;30024992;MedNac;5;MedIFANac;10;;"Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas.";Medicamentos;0;0;1;2
52;cics_8;habilita;30041012;MedNac;5;MedIFANac;10;;Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profiláticos, apresentados em doses (incluindo os destinados a serem administrados por via percutânea) ou acondicionados para venda a retalho.;Medicamentos;0;0;1;2
