num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_4;Está em cics_8
1;cics_7;habilita;85044010;CFI;10;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;;1;1;1;2
2;cics_7;habilita;8601;CFI;10;;;;Locomotivas e locotratores, de fonte externa de eletricidade ou de acumuladores elétricos.;;0;0;1;2
3;cics_7;habilita;8602;CFI;10;;;;"Outras locomotivas e locotratores; tênderes.";;0;0;1;2
4;cics_7;habilita;8603;CFI;10;;;;Litorinas (automotoras), mesmo para circulação urbana, exceto as da posição 86.04.;;0;0;1;2
5;cics_7;habilita;86069;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;;0;0;1;2
6;cics_7;habilita;86071110;CFI;10;;;;Partes de veículos para vias férreas ou semelhantes.;;1;1;1;2
7;cics_7;habilita;860400;CFI;10;;;;#N/D;;0;0;1;2
8;cics_7;habilita;860500;CFI;10;;;;#N/D;;0;0;1;2
9;cics_7;habilita;86080012;CFI;10;;;;#N/D;;1;1;1;2
10;cics_7;habilita;8702;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;;0;0;1;2
11;cics_7;habilita;87079090;CFI;10;;;;Carroçarias para os veículos automóveis das posições 87.01 a 87.05, incluindo as cabinas.;;1;1;1;2
12;cics_7;habilita;87060010;CFI;10;;;;#N/D;;1;1;1;2
13;cics_7;habilita;87060090;CFI;10;;;;#N/D;;1;1;1;2
14;cics_7;habilita;90328930;CFI;10;;;;Instrumentos e aparelhos para regulação ou controle, automáticos.;;1;1;1;2
15;cics_7;habilita;8429;CFI;10;;;;Bulldozers, angledozers, niveladores, raspo-transportadores (scrapers), pás mecânicas, escavadores, carregadores e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsados.;;0;0;1;2
16;cics_7;habilita;8430;CFI;10;;;;"Outras máquinas e aparelhos de terraplenagem, nivelamento, raspagem, escavação, compactação, extração ou perfuração da terra, de minerais ou minérios; bate-estacas e arranca-estacas; limpa-neves.";;0;0;1;2
17;cics_7;habilita;847910;CFI;10;;;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;;0;0;1;2
18;cics_7;habilita;847982;CFI;10;;;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;;0;0;1;2
19;cics_7;habilita;85013120;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;;0;1;2;2
20;cics_7;habilita;85013220;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;;0;1;2;2
21;cics_7;habilita;85013320;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;;0;1;2;2
22;cics_7;habilita;85013420;CFI-A;10;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;;0;1;2;2
