resolucao;habilita_desabilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;anexo;descricao_ncm;exigência de aquisição nacional 
ciiapac_3;habilita;84184000;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Câmara Fria para conservação de vacinas;não
ciiapac_3;habilita;90185090;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Retinógrafo Digital;não
ciiapac_3;habilita;90181980;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Espirômetro digital;não
ciiapac_3;habilita;90189099;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Dermatoscópio Digital;não
ciiapac_3;habilita;90181100;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Eletrocardiógrafo Digital;não
ciiapac_3;habilita;90189021;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Eletrocautério (Bisturi Elétrico);não
ciiapac_3;habilita;90189096;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Desfibrilador Externo Automático (DEA);não
ciiapac_3;habilita;90181290;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Doppler Vascular;não
ciiapac_3;habilita;90182090;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Laser terapêutico de baixa potência;não
ciiapac_3;habilita;90189099;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Ultrassom para fisioterapia;não
ciiapac_3;habilita;84231000;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Balança Digital Portátil;não
ciiapac_3;habilita;90189099;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";TENS e FES;não
ciiapac_3;habilita;90318011;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Dinamômetro Digital;não
ciiapac_3;habilita;87131000;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Cadeira de Rodas;não
ciiapac_3;habilita;90189099;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Fotóforo - Foco de Luz de Cabeça;não
ciiapac_3;habilita;90191000;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Tábua de propriocepção;não
ciiapac_3;habilita;90181980;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Otoscópio digital;não
ciiapac_3;habilita;90181290;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO I - PRODUTOS DO SUBEIXO ""ATENÇÃO PRIMÁRIA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Ultrassom portátil de bolso;não
ciiapac_3;habilita;90221419;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO II - PRODUTOS DO SUBEIXO ""ATENÇÃO ESPECIALIZADA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Arco Cirúrgico;não
ciiapac_3;habilita;90189099;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO II - PRODUTOS DO SUBEIXO ""ATENÇÃO ESPECIALIZADA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Aparelho de anestesia;não
ciiapac_3;habilita;90181980;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO II - PRODUTOS DO SUBEIXO ""ATENÇÃO ESPECIALIZADA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Monitor Multiparâmetro;não
ciiapac_3;habilita;94029010;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO II - PRODUTOS DO SUBEIXO ""ATENÇÃO ESPECIALIZADA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Mesa Cirúrgica Elétrica Radiotransparente;não
ciiapac_3;habilita;90181290;código CFI ou PPB;10%;TECNAC;10%;;"ANEXO II - PRODUTOS DO SUBEIXO ""ATENÇÃO ESPECIALIZADA"" SUJEITOS À APLICAÇÃODE MARGEM DE PREFERÊNCIA";Ultrassom Portátil;não
